timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533548267889331,-4,-14,-7,-59,-22,-16,-9,0
1533548267890353,-1,2,-14,-31,-50,-10,8,9
1533548267890353,7,13,10,4,66,-4,-12,-8
1533548267911322,-8,-4,-7,8,-21,-6,-15,-6
1533548267911322,0,-1,1,19,28,-2,23,9
1533548267912352,4,8,2,43,6,-3,13,0
1533548267912352,-1,-8,-22,-110,-41,-6,-15,2
1533548267934292,-4,-9,-1,38,34,-2,6,2
1533548267934292,0,-1,5,2,15,-6,-4,-2
1533548267935321,-3,4,1,29,27,-10,15,5
1533548267935321,1,-5,6,11,-46,0,-12,-2
1533548267949354,-3,-23,-20,-54,-10,-8,-5,-5
1533548267949354,-2,2,-1,4,20,-6,10,-2
1533548267950352,-1,3,0,-33,-1,-2,-11,-4
1533548267950352,-1,-1,18,49,-55,-4,-7,0
1533548267971322,2,9,-1,-32,25,5,1,2
1533548267971322,-3,-5,-2,23,21,-10,2,0
1533548267972352,-4,-5,3,-16,25,8,1,1
1533548267972352,-5,-2,1,48,-31,2,-15,2
1533548267994352,0,6,7,-4,19,-5,3,-6
1533548267994352,-2,0,-15,-36,87,-10,-18,-3
1533548267995352,4,-2,0,-6,-16,6,54,12
1533548267995352,-6,-7,-7,-37,-22,-7,-26,0
1533548268009345,3,9,13,65,-28,2,6,5
1533548268009345,8,13,9,32,-38,1,2,-2
1533548268010352,-5,-5,-15,-67,43,-3,-32,-10
1533548268010352,1,-10,-8,-1,28,-6,51,11
1533548268031322,2,6,11,-3,-57,3,-3,-2
1533548268031322,1,3,9,42,17,-4,-27,-6
1533548268032351,1,4,2,25,4,13,74,4
1533548268032351,-1,6,1,-13,-24,1,-7,-8
1533548268054288,-2,-1,-2,-8,70,-6,-8,0
1533548268054288,2,4,7,7,-22,7,6,3
1533548268055320,1,2,-7,-50,-2,1,-52,-3
1533548268055320,2,-5,-8,50,63,13,25,17
1533548268069323,-17,-9,-7,-30,-63,5,10,-14
1533548268069323,-5,-6,-4,5,-10,3,3,1
1533548268070350,0,-2,0,-7,-52,-3,-13,2
1533548268070350,6,2,3,46,52,-3,-1,-6
1533548268091319,12,4,12,21,24,-2,-8,6
1533548268091319,-2,-20,-24,-50,-10,-1,10,1
1533548268092350,7,23,4,10,-4,-3,-23,-5
1533548268092350,-2,-18,-2,-3,-11,-6,-10,-4
1533548268114288,5,2,9,8,-73,13,1,1
1533548268114288,5,7,1,-15,-2,-5,-53,-7
1533548268115319,-5,-29,8,29,-8,-2,8,-1
1533548268115319,-6,8,-14,-60,56,1,-12,-7
1533548268129342,2,14,-2,10,-27,-1,9,5
1533548268129342,-8,-10,3,-6,-13,-6,-12,-6
1533548268130350,-4,-3,-9,-33,-22,-1,9,13
1533548268130350,-1,-1,5,-6,0,0,-21,-15
1533548268151317,-7,-10,-3,45,2,-9,-32,-2
1533548268151317,4,13,8,59,38,-5,18,4
1533548268152321,-5,-9,-20,-90,29,1,-30,-9
1533548268152321,-5,-10,-2,11,-37,-4,50,7
1533548268182348,1,0,-8,-42,45,4,3,1
1533548268182348,0,-4,8,13,-13,-4,16,1
1533548268183349,3,5,8,12,-55,2,-1,1
1533548268183349,2,7,1,93,102,5,-15,-2
1533548268188348,1,1,-11,-39,-26,-4,-5,-6
1533548268188348,0,6,-15,-6,-10,7,18,5
1533548268196317,1,-4,7,20,-9,-6,-4,5
1533548268196317,0,5,9,-3,-49,-7,-42,-11
1533548268211316,-2,0,11,36,8,-9,5,4
1533548268211316,-6,-6,3,45,-24,6,44,2
1533548268212349,-3,8,-23,-70,-18,5,-12,-5
1533548268212349,1,-1,8,23,-20,-1,0,-3
1533548268234288,2,-5,-14,3,-11,-2,-4,5
1533548268234288,0,-11,-12,-29,-10,0,-7,0
1533548268235316,8,19,20,52,61,-4,-3,4
1533548268235316,-3,-11,-6,-22,-62,-1,20,-5
1533548268248348,-1,10,7,14,-12,-4,1,-4
1533548268248348,-3,-15,1,-16,11,3,-17,-7
1533548268256317,1,-6,-5,20,-53,-8,40,7
1533548268256317,5,24,-1,-42,25,4,-4,3
1533548268271316,-4,-4,-8,19,12,-11,-35,-2
1533548268271316,4,20,-8,-48,7,1,-17,0
1533548268272347,1,3,4,31,-15,3,20,-3
1533548268272347,-5,-13,3,-13,32,-6,16,3
1533548268294287,1,7,-1,19,26,-5,2,0
1533548268294287,-6,-8,6,-4,-33,6,-4,-5
1533548268295316,1,-3,2,24,70,-1,-12,-6
1533548268295316,3,3,3,36,47,-11,-19,8
1533548268308347,-3,-13,-11,-44,-62,3,18,2
1533548268308347,0,-2,-6,-5,45,-3,0,-3
1533548268316316,-2,-3,4,-14,-49,-4,12,3
1533548268316316,-1,-7,1,-4,40,-2,-6,-3
1533548268331316,4,6,16,32,31,-1,11,2
1533548268331316,-3,-7,-14,-36,-43,-2,0,-3
1533548268332347,3,14,5,35,127,6,-31,-3
1533548268332347,0,-16,-3,-2,-62,5,16,10
1533548268354286,-2,-9,0,14,39,2,-25,-3
1533548268354286,-1,2,-7,-43,-13,7,-2,-3
1533548268355316,-1,14,5,37,-24,5,-14,-5
1533548268355316,-1,4,-16,-51,5,-7,9,-3
1533548268368348,1,1,11,23,1,6,-21,-1
1533548268368348,4,4,11,76,17,2,10,4
1533548268376315,-5,-10,-21,-63,14,-6,6,3
1533548268376315,-4,12,0,10,-25,6,-27,-14
1533548268391315,-4,-5,-6,-26,65,-7,5,-2
1533548268391315,4,7,2,2,4,-5,15,7
1533548268392346,5,21,17,84,8,-2,-10,-3
1533548268392346,-5,-11,-10,-43,-18,5,-26,-4
1533548268414284,-2,-7,-9,-48,-60,-8,25,3
1533548268414284,4,12,8,1,10,1,-46,-7
1533548268415315,-4,-24,-6,36,15,3,18,3
1533548268415315,4,-2,-5,2,-19,-6,-5,3
1533548268428346,-1,2,-8,-99,-32,3,2,-5
1533548268428346,4,-3,-5,65,44,-9,-12,4
1533548268436313,-4,-10,-8,-82,-40,-3,-8,0
1533548268436313,-1,10,10,29,-10,4,10,1
1533548268451313,0,6,1,9,-33,-2,5,-1
1533548268451313,1,11,23,36,-21,-4,36,12
1533548268452317,-9,-18,-29,-29,12,4,-38,-13
1533548268452317,-1,-4,-6,-9,8,2,5,0
1533548268474284,8,11,4,33,-16,-6,2,4
1533548268474284,-1,-3,3,-3,-30,8,7,1
1533548268475314,-6,-25,0,22,24,-1,10,2
1533548268475314,-4,5,-8,-42,-58,-17,-26,2
1533548268488344,0,1,4,-49,13,6,7,-8
1533548268488344,-3,-3,-10,22,14,1,17,-6
